STATE,,YEAR,MONTH,MIN_TEMP,MAX_TEMP,RAINFALL,CLOUD_COVER,WET_DAY_FREQ,DIURNAL_TEMP,FLOOD OCCURRENCE,,,,,,,,,,,
BIHAR,PATNA,2001,SEPTEMBER,26.137,33.231,48.993,49.694,4.5103,7.094,NO,,,,,,,,,,,
BIHAR,PATNA,2001,OCTOBER,23.57,33.466,91.677,37.501,3.609,9.872,NO,,,,,,,,,,,
BIHAR,PATNA,2001,NOVEMBER,17.201,31.27,0.056,18.225,0.0559,14.069,NO,,,,,,,,,,,
BIHAR,PATNA,2001,DECEMBER,12.209,26.502,0.16,30.704,0.1616,14.293,NO,,,,,,,,,,,
BIHAR,PATNA,2002,JANUARY,9.272,23.661,24.147,23.118,1.8117,14.389,NO,,,,,,,,,,,
BIHAR,PATNA,2002,FEBRUARY,12.936,27.911,11.533,24.079,1.5021,14.953,NO,,,,,,,,,,,
BIHAR,PATNA,2002,MARCH,17.763,34.15,5.137,23.798,1.0027,16.364,NO,,,,,,,,,,,
BIHAR,PATNA,2002,APRIL,22.661,38.698,6.981,20.125,1,16.021,NO,,,,,,,,,,,
BIHAR,PATNA,2002,MAY,26.958,41.352,10.265,33.217,1.3801,14.394,NO,,,,,,,,,,,
BIHAR,PATNA,2002,JUNE,28.247,39.118,39.194,50.863,3.7459,10.871,NO,,,,,,,,,,,
BIHAR,PATNA,2002,JULY,27.414,34.835,166.364,68.443,10.0856,7.423,NO,,,,,,,,,,,
BIHAR,PATNA,2002,AUGUST,25.693,32.415,275.687,71.473,13.0337,6.721,YES,,,,,,,,,,,
BIHAR,PATNA,2002,SEPTEMBER,24.942,32.681,171.331,57.357,8.8366,7.725,NO,,,,,,,,,,,
BIHAR,PATNA,2002,OCTOBER,21.559,32.158,116.738,28.891,4.2164,10.598,NO,,,,,,,,,,,
BIHAR,PATNA,2002,NOVEMBER,15.471,29.318,15.127,12.71,1,13.845,NO,,,,,,,,,,,
BIHAR,PATNA,2002,DECEMBER,11.276,25.895,0.16,27.442,0.1616,14.62,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1992,JANUARY,8.016,14.928,13.237,25.921,1.325,13.824,NO,,,,,,,,,,,
